"4770.91523,-0.22844"
"4769.95102,-0.22854"
"4768.98681,-0.22858"
"4768.02260,-0.22866"
"4767.05839,-0.22874"
"4766.09418,-0.22874"
"4765.12997,-0.22866"
"4764.16576,-0.22856"
"4763.20155,-0.22854"
"4762.23734,-0.22852"
"4761.27313,-0.22856"
"4760.30891,-0.22866"
"4759.34470,-0.22866"
"4758.38049,-0.22847"
"4757.41628,-0.22837"
"4756.45207,-0.22853"
"4755.48786,-0.22867"
"4754.52365,-0.22865"
"4753.55944,-0.22877"
"4752.59523,-0.22903"
"4751.63102,-0.22907"
"4750.66681,-0.22878"
"4749.70260,-0.22855"
"4748.73838,-0.22874"
"4747.77417,-0.22915"
"4746.80996,-0.22931"
"4745.84575,-0.22907"
"4744.88154,-0.22873"
"4743.91733,-0.22859"
"4742.95312,-0.22864"
"4741.98891,-0.22874"
"4741.02470,-0.22886"
"4740.06049,-0.22893"
"4739.09628,-0.22889"
"4738.13207,-0.22870"
"4737.16785,-0.22846"
"4736.20364,-0.22832"
"4735.23943,-0.22836"
"4734.27522,-0.22863"
"4733.31101,-0.22896"
"4732.34680,-0.22911"
"4731.38259,-0.22916"
"4730.41838,-0.22920"
"4729.45417,-0.22913"
"4728.48996,-0.22902"
"4727.52575,-0.22901"
"4726.56154,-0.22914"
"4725.59732,-0.22930"
"4724.63311,-0.22930"
"4723.66890,-0.22916"
"4722.70469,-0.22900"
"4721.74048,-0.22892"
"4720.77627,-0.22898"
"4719.81206,-0.22895"
"4718.84785,-0.22872"
"4717.88364,-0.22860"
"4716.91943,-0.22879"
"4715.95522,-0.22911"
"4714.99101,-0.22922"
"4714.02679,-0.22906"
"4713.06258,-0.22888"
"4712.09837,-0.22880"
"4711.13416,-0.22876"
"4710.16995,-0.22880"
"4709.20574,-0.22887"
"4708.24153,-0.22887"
"4707.27732,-0.22881"
"4706.31311,-0.22880"
"4705.34890,-0.22904"
"4704.38469,-0.22936"
"4703.42048,-0.22933"
"4702.45626,-0.22905"
"4701.49205,-0.22904"
"4700.52784,-0.22919"
"4699.56363,-0.22899"
"4698.59942,-0.22861"
"4697.63521,-0.22859"
"4696.67100,-0.22898"
"4695.70679,-0.22940"
"4694.74258,-0.22953"
"4693.77837,-0.22944"
"4692.81416,-0.22924"
"4691.84995,-0.22895"
"4690.88573,-0.22880"
"4689.92152,-0.22895"
"4688.95731,-0.22914"
"4687.99310,-0.22914"
"4687.02889,-0.22904"
"4686.06468,-0.22911"
"4685.10047,-0.22931"
"4684.13626,-0.22944"
"4683.17205,-0.22933"
"4682.20784,-0.22900"
"4681.24363,-0.22881"
"4680.27942,-0.22895"
"4679.31520,-0.22906"
"4678.35099,-0.22893"
"4677.38678,-0.22877"
"4676.42257,-0.22883"
"4675.45836,-0.22891"
